model,qid,avg_similarity,std_similarity,min_similarity,stability_score
groq/compound-mini,Q1,0.8515211,0.038842723,0.7622586,0.81267834
groq/compound-mini,Q10,0.56041557,0.4083618,-0.02693964,0.15205377
groq/compound-mini,Q2,0.6941815,0.18243958,0.44426203,0.51174194
groq/compound-mini,Q3,0.82642,0.054342076,0.72846735,0.7720779
groq/compound-mini,Q4,0.70480996,0.17729634,0.38946947,0.5275136
groq/compound-mini,Q5,0.7750623,0.043724183,0.69925416,0.73133814
groq/compound-mini,Q6,0.85797065,0.03987356,0.79736876,0.8180971
groq/compound-mini,Q7,0.53567094,0.3384983,0.01726654,0.19717264
groq/compound-mini,Q8,0.4245061,0.39479387,0.04541992,0.02971223
groq/compound-mini,Q9,0.5480014,0.38562667,-0.008458575,0.16237473
llama-3.1-8b-instant,Q1,0.910659,0.036143295,0.8542086,0.8745157
llama-3.1-8b-instant,Q10,0.84624404,0.08179606,0.7328312,0.764448
llama-3.1-8b-instant,Q2,0.81501776,0.051479977,0.7465193,0.76353776
llama-3.1-8b-instant,Q3,0.9386497,0.020241952,0.9035579,0.91840774
llama-3.1-8b-instant,Q4,0.83062553,0.14599642,0.62448263,0.6846291
llama-3.1-8b-instant,Q5,0.8691601,0.03009379,0.8069282,0.8390663
llama-3.1-8b-instant,Q6,0.9075939,0.044950895,0.82585657,0.862643
llama-3.1-8b-instant,Q7,0.84114033,0.048417605,0.77064097,0.7927227
llama-3.1-8b-instant,Q8,0.9023259,0.04389848,0.8207431,0.85842746
llama-3.1-8b-instant,Q9,0.8567671,0.050438605,0.7642176,0.80632854
llama-3.3-70b-versatile,Q1,0.83250964,0.05747665,0.7284211,0.775033
llama-3.3-70b-versatile,Q10,0.87307924,0.058731273,0.76445174,0.814348
llama-3.3-70b-versatile,Q2,0.8413095,0.055603325,0.783775,0.78570616
llama-3.3-70b-versatile,Q3,0.9239581,0.038122255,0.8721318,0.8858359
llama-3.3-70b-versatile,Q4,0.6987658,0.1832442,0.34436753,0.51552165
llama-3.3-70b-versatile,Q5,0.77475446,0.11109537,0.5769728,0.6636591
llama-3.3-70b-versatile,Q6,0.9127475,0.04637295,0.8066272,0.86637455
llama-3.3-70b-versatile,Q7,0.7992764,0.047655627,0.6928175,0.75162077
llama-3.3-70b-versatile,Q8,0.9017448,0.0461072,0.8156628,0.8556376
llama-3.3-70b-versatile,Q9,0.90107983,0.051627997,0.80537176,0.84945184
moonshotai/kimi-k2-instruct,Q1,0.8351651,0.053255998,0.7569668,0.7819091
moonshotai/kimi-k2-instruct,Q10,0.7795074,0.10775873,0.5486458,0.67174864
moonshotai/kimi-k2-instruct,Q2,0.7082186,0.15903333,0.35718518,0.5491853
moonshotai/kimi-k2-instruct,Q3,0.534235,0.38649726,-0.030725025,0.14773774
moonshotai/kimi-k2-instruct,Q4,0.69017017,0.13373083,0.52476966,0.55643934
moonshotai/kimi-k2-instruct,Q5,0.6878518,0.066462494,0.57265735,0.62138927
moonshotai/kimi-k2-instruct,Q6,0.8110623,0.10921759,0.64996636,0.7018447
moonshotai/kimi-k2-instruct,Q7,0.74600065,0.11891304,0.5270554,0.6270876
moonshotai/kimi-k2-instruct,Q8,0.7177887,0.08543758,0.588748,0.6323511
moonshotai/kimi-k2-instruct,Q9,0.6112969,0.14250015,0.30854732,0.46879673
qwen/qwen3-32b,Q1,0.93076575,0.014961712,0.90650845,0.915804
qwen/qwen3-32b,Q10,0.78576106,0.07445949,0.62815803,0.71130157
qwen/qwen3-32b,Q2,0.8550434,0.042620163,0.7679751,0.8124232
qwen/qwen3-32b,Q3,0.92066294,0.020387594,0.89193326,0.90027535
qwen/qwen3-32b,Q4,0.8590416,0.04976243,0.77014136,0.80927914
qwen/qwen3-32b,Q5,0.8342716,0.054143123,0.7187985,0.7801285
qwen/qwen3-32b,Q6,0.90217,0.028663957,0.85237086,0.87350607
qwen/qwen3-32b,Q7,0.8421392,0.035215113,0.7815195,0.80692405
qwen/qwen3-32b,Q8,0.8979942,0.026674407,0.84952486,0.87131983
qwen/qwen3-32b,Q9,0.90426606,0.016209325,0.8721355,0.88805676
